 ,Area,Mean,Min,Max
1,196,-39.2099,-72.7743,-13.4897
2,221,-43.9101,-68.3334,-21.1101
3,66,-49.8628,-67.0209,-26.7717
4,75,-54.4197,-72.8210,-30.6121
5,180,-40.9585,-70.3543,-25.3606
6,316,-38.2764,-73.6877,-8.9307
7,285,-43.6464,-72.2028,-24.4963
8,31,-42.9415,-67.1816,-32.6104
9,162,-47.5895,-64.4773,-29.1801
10,192,-44.9354,-74.5915,-26.1446
11,161,-43.2467,-59.9964,-21.1971
12,240,-46.2896,-74.8915,-8.8567
13,73,-50.7420,-72.8003,-24.2514
14,353,-41.2073,-66.0433,-1.7703
15,184,-48.4309,-66.4238,-24.7401
16,132,-46.7512,-65.0940,-23.2900
17,79,-39.8992,-62.4211,-16.9506
18,259,-47.3405,-72.0492,-14.9623
19,189,-46.9882,-69.1685,-19.5146
20,2855,17.1720,-62.8350,69.3702
21,17,-67.6162,-71.2645,-64.4293
22,39,-60.4149,-86.0664,-41.7416
23,287,-45.9982,-65.8492,-22.0092
24,49,-44.4736,-72.7182,-26.3710
25,505,-3.7088,-75.7767,52.3246
26,65,-46.4165,-78.0894,-23.9526
27,437,-7.3850,-60.7545,56.1670
28,223,-36.0795,-70.5376,-8.7326
29,204,-39.5147,-60.3859,-13.8261
30,163,-45.4905,-67.4509,-29.2343
31,131,-43.0829,-73.0735,-14.3728
32,75,-44.7040,-63.8680,-31.5197
33,60,-55.5973,-76.7088,-30.3471
34,86,-53.4331,-72.8169,-31.5510
35,7,-46.3831,-62.2669,-33.7361
36,46,-56.5936,-73.3450,-29.5577
37,37,-50.2600,-68.2550,-31.2362
38,23,-49.1654,-83.3339,-32.0984
